sop_class_uid,sop_class_name,role,supported,source_pdf,page
1.2.840.10008.5.1.4.1.1.6.1,Ultrasound Image Storage,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.6.2,Enhanced US Volume Storage,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.7.1,Secondary Capture Image,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.7.2,Secondary Capture Image,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.7.4,Secondary Capture Image,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.9.1.1,12-lead ECG Waveform,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.9.1.2,General ECG Waveform,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.9.1.3,Ambulatory ECG Waveform,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.9.2.1,Hemodynamic Waveform,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.9.3.1,Cardiac Electrophysiology,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.9.4.1,Basic Voice Audio Waveform,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.9.4.2,General Audio Waveform,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.9.5.1,Arterial Pulse Waveform,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.9.6.1,Respiratory Waveform Storage,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.11.2,Color Softcopy Presentation,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.11.3,Presentation State Storage,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.11.4,Blending Softcopy,SCP,yes,DCS_MR_XA50.pdf,4
1.2.840.10008.5.1.4.1.1.12.1,X-Ray Angiographic Image,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.12.1.1,Enhanced XA Image Storage,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.12.2,X-Ray Radiofluoroscopic,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.12.2.1,Enhanced XRF Image Storage,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.13.1.1,X-Ray 3D Angiographic Image,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.13.1.3,Breast Tomosynthesis Image,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.20,Nuclear Medicine Image,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.66.2,Spatial Fiducials Storage,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.66.3,Deformable Spatial,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.66.5,Surface Segmentation Storage,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.88.11,Basic Text SR Storage,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.88.40,Procedure Log Storage,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.88.50,Mammography CAD SR,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.88.59,Key Object Selection,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.88.67,X-Ray Radiation Dose SR,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.88.68,Radiopharmaceutical,SCP,yes,DCS_MR_XA50.pdf,5
1.2.840.10008.5.1.4.1.1.128,Positron Emission,SCP,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.4.1.1.481.4,RT Beams Treatment Record,SCP,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.4.1.1.481.6,Radio Therapy Brachy,SCP,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.4.1.1.481.7,RT Treatment Summary,SCP,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.4.1.1.481.8,RT Ion Plan Storage,SCP,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.4.1.1.481.9,RT Ion Beams Treatment,SCP,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.4.38.1,Hanging Protocol Storage,SCP,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.1.20.1,Storage Commitment Push,SCU,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.4.31,Modality Worklist Information,SCU,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.3.1.2.3.3,Modality Performed Procedure,SCU,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.4.1.2.2.1,Study Root Q/R - Information,SCU/SCP,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.4.1.2.2.2,Study Root Q/R - Information,SCU/SCP,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.4.1.2.3.2,Patient/Study Only Q/R -,,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.1.9,Basic Grayscale Print,SCU,yes,DCS_MR_XA50.pdf,6
1.2.840.10008.5.1.1.18,Basic Color Print Management,SCU,yes,DCS_MR_XA50.pdf,7
1.2.840.10008.5.1.1.1,Basic Film Sesssion SOP Class,SCU,yes,DCS_MR_XA50.pdf,7
1.2.840.10008.5.1.1.2,Basic Film Box SOP Class,SCU,yes,DCS_MR_XA50.pdf,7
1.2.840.10008.5.1.1.4,Basic Grayscale Image Box,SCU,yes,DCS_MR_XA50.pdf,7
1.2.840.10008.5.1.1.4.1,Basic Color Image Box SOP,SCU,yes,DCS_MR_XA50.pdf,7
1.2.840.10008.5.1.1.16,Printer SOP Class,SCU,yes,DCS_MR_XA50.pdf,7
1.2.840.10008.5.1.1.14,Print Job SOP Class,SCU,yes,DCS_MR_XA50.pdf,7
1.2.840.10008.5.1.1.23,Presentation LUT SOP Class,SCU,yes,DCS_MR_XA50.pdf,7
1.2.840.10008.1.2.4.70,"JPEG Lossless, Non-Hierarchical, First-Order Prediction",SCU,yes,DCS_MR_XA50.pdf,56
1.2.840.10008.1.1,Verification,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.4,MR Image Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.4.1,Enhanced MR Image Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.4.2,MR Spectroscopy Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.4.3,Enhanced MR Color Image,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.7,Secondary Capture Image,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.7.3,Secondary Capture Image,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.11.1,Grayscale Softcopy Presentation,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.11.2,Color Softcopy Presentation,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.11.3,Pseudo-Color Softcopy,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.66,Raw Data Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.66.1,Spatial Registration Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.66.4,Segmentation Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.67,Real World Value Mapping,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.88.22,Enhanced SR Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.88.33,Comprehensive SR Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,2
1.2.840.10008.5.1.4.1.1.104.1,Encapsulated PDF Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.481.1,RT Image Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.481.2,RT Dose Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.481.3,RT Structure Set Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.481.5,RT Plan Storage,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.1,Computed Radiography Image,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.1.1,Digital X-Ray Image Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.1.1.1,Digital X-Ray Image Storage –,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.1.2,Image Storage – For,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.1.3,Digital Intra-Oral X-Ray Image -,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.1.3.1,Digital Intra-Oral X-Ray Image -,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.2,CT Image Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.2.1,Enhanced CT Image Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.3.1,Ultrasound Multi-frame Image,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.6.1,Ultrasound Image Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.6.2,Enhanced US Volume Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.7.1,Multi-frame Single Bit Secondary,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.7.2,Secondary Capture Image,SCP,yes,DCS_MR_XA51A-V03.pdf,3
1.2.840.10008.5.1.4.1.1.7.4,Secondary Capture Image,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.9.1.1,12-lead ECG Waveform Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.9.1.2,General ECG Waveform Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.9.1.3,Ambulatory ECG Waveform,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.9.2.1,Hemodynamic Waveform,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.9.3.1,Cardiac Electrophysiology,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.9.4.1,Basic Voice Audio Waveform,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.9.4.2,General Audio Waveform,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.9.5.1,Arterial Pulse Waveform Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.9.6.1,Respiratory Waveform Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.11.4,Blending Softcopy Presentation,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.12.1,X-Ray Angiographic Image,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.12.1.1,Enhanced XA Image Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.12.2,X-Ray Radiofluoroscopic Image,SCP,yes,DCS_MR_XA51A-V03.pdf,4
1.2.840.10008.5.1.4.1.1.12.2.1,Enhanced XRF Image Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.13.1.1,X-Ray 3D Angiographic Image,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.13.1.3,Breast Tomosynthesis Image,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.20,Nuclear Medicine Image Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.66.2,Spatial Fiducials Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.66.3,Deformable Spatial Registration,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.66.5,Surface Segmentation Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.88.11,Basic Text SR Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.88.40,Procedure Log Storage Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.88.50,Mammography CAD SR Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.88.59,Key Object Selection Document,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.88.67,X-Ray Radiation Dose SR Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.88.68,Radiopharmaceutical Radiation,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.128,Positron Emission Tomography,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.481.4,RT Beams Treatment Record,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.481.6,Radio Therapy Brachy Treatment,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.481.7,RT Treatment Summary Record,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.481.8,RT Ion Plan Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.1.1.481.9,RT Ion Beams Treatment Record,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.38.1,Hanging Protocol Storage,SCP,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.1.20.1,Storage Commitment Push,SCU,yes,DCS_MR_XA51A-V03.pdf,5
1.2.840.10008.5.1.4.31,Modality Worklist Information,SCU,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.3.1.2.3.3,Modality Performed Procedure,SCU,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.4.1.2.2.1,Study Root Query/Retrieve -,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.4.1.2.2.2,Study Root Query/Retrieve -,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.4.1.2.3.1,Query/Retrieve - Information,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.4.1.2.3.2,Query/Retrieve - Information,SCU/SCP,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.1.9,Basic Grayscale Print,SCU,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.1.18,Basic Color Print Management,SCU,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.1.1,Basic Film Sesssion SOP Class,SCU,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.1.2,Basic Film Box SOP Class,SCU,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.1.4,Basic Grayscale Image Box SOP,SCU,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.1.4.1,Basic Color Image Box SOP Class,SCU,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.1.16,Printer SOP Class,SCU,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.1.14,Print Job SOP Class,SCU,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.5.1.1.23,Presentation LUT SOP Class,SCU,yes,DCS_MR_XA51A-V03.pdf,6
1.2.840.10008.1.2.4.70,"JPEG Lossless, Non-Hierarchical, First-Order Prediction (Process",SCU,yes,DCS_MR_XA51A-V03.pdf,64
1.2.840.10008.1.1,Verification,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.4,MR Image Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.4.1,Enhanced MR Image Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.4.2,MR Spectroscopy Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.4.3,Enhanced MR Color Image,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.7,Secondary Capture Image,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.7.3,Secondary Capture Image,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.11.1,Grayscale Softcopy Presentation,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.11.2,Color Softcopy Presentation,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.11.3,Pseudo-Color Softcopy,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.66,Raw Data Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.66.1,Spatial Registration Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.66.4,Segmentation Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.67,Real World Value Mapping,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.88.22,Enhanced SR Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.88.33,Comprehensive SR Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,2
1.2.840.10008.5.1.4.1.1.104.1,Encapsulated PDF Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.481.1,RT Image Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.481.2,RT Dose Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.481.3,RT Structure Set Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.481.5,RT Plan Storage,SCU/SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.1,Computed Radiography Image,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.1.1,Digital X-Ray Image Storage,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.1.1.1,Digital X-Ray Image Storage –,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.1.2,Image Storage – For,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.1.3,Digital Intra-Oral X-Ray Image -,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.1.3.1,Digital Intra-Oral X-Ray Image -,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.2,CT Image Storage,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.2.1,Enhanced CT Image Storage,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.3.1,Ultrasound Multi-frame Image,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.6.1,Ultrasound Image Storage,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.6.2,Enhanced US Volume Storage,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.7.1,Multi-frame Single Bit Secondary,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.7.2,Secondary Capture Image,SCP,yes,DCS_MR_XA60.pdf,3
1.2.840.10008.5.1.4.1.1.7.4,Secondary Capture Image,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.9.1.1,12-lead ECG Waveform Storage,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.9.1.2,General ECG Waveform Storage,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.9.1.3,Ambulatory ECG Waveform,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.9.2.1,Hemodynamic Waveform,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.9.3.1,Cardiac Electrophysiology,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.9.4.1,Basic Voice Audio Waveform,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.9.4.2,General Audio Waveform,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.9.5.1,Arterial Pulse Waveform Storage,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.9.6.1,Respiratory Waveform Storage,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.11.4,Blending Softcopy Presentation,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.12.1,X-Ray Angiographic Image,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.12.1.1,Enhanced XA Image Storage,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.12.2,X-Ray Radiofluoroscopic Image,SCP,yes,DCS_MR_XA60.pdf,4
1.2.840.10008.5.1.4.1.1.12.2.1,Enhanced XRF Image Storage,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.13.1.1,X-Ray 3D Angiographic Image,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.13.1.3,Breast Tomosynthesis Image,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.20,Nuclear Medicine Image Storage,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.66.2,Spatial Fiducials Storage,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.66.3,Deformable Spatial Registration,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.66.5,Surface Segmentation Storage,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.88.11,Basic Text SR Storage,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.88.40,Procedure Log Storage Storage,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.88.50,Mammography CAD SR Storage,SCP,yes,DCS_MR_XA60.pdf,5
