filename,title,description,language,modality,body_region,file_size_bytes
CT Chest - COVID-19,CT Chest - COVID-19,,en,CT,Chest,40078
CT Chest ILD,Chest CT ILD,,en,CT,Chest,8877
CT Chest PE-50513,Chest CT PE,,en,CT,Chest,13717
CT Chest PE,Chest CT PE,,en,CT,Chest,12783
CT Chest Pulmonary Embolism,CT Chest Pulmonary Embolism,,en,CT,Chest,6281
CT Chest w Contrast,Chest CT With Contrast,,en,CT,Chest,11507
CT Chest wo Contrast,Chest CT Without Contrast,,en,CT,Chest,10153
CT Chest,CT Chest,,en,CT,Chest,5913
CT Cirrhosis Module,CT Cirrhosis Module,,en,CT,General,14496
CT DIEP Mapping,CT DIEP Mapping,,en,CT,General,7552
CT EMBOLIA POLMONARE ,CT EMBOLIA POLMONARE ,,en,CT,General,524
CT Facial Bones - Trauma,CT Facial Bones - Trauma,,en,CT,General,1853
CT Facial Bones W Contrast,CT Facial Bones W Contrast,,en,CT,General,1955
CT Facial Bones,CT Facial Bones,,en,CT,General,3668
CT HCC Screening,CT HCC Screening,,en,CT,General,3822
CT Head W Contrast,CT Head W Contrast,,en,CT,Head/Brain,2605
CT Head WO Contrast,CT Head WO Contrast,,en,CT,Head/Brain,2540
CT IVP,CT IVP,,en,CT,General,15702
CT KHK (CT coronary heart disease),CT KHK,Template zur Befundung von Cardio-CT Untersuchungen zur KHK.,de,CT,General,18322
CT Kidney and Abdomen Renal Mass,CT Kidney and Abdomen Renal Mass,,en,CT,Abdomen,37413
CT Knee,CT Knee,,en,CT,General,22936
CT KUB (CT Stone Study),CT KUB,,en,CT,General,10208
CT Liver Surveillance,CT Liver Surveillance,,en,CT,Abdomen,9290
CT Lumbar Spine WO Contrast,CT Lumbar Spine WO Contrast,,en,CT,Spine,2941
CT Lungenembolie (CT pulmonary embolism),CT-Thorax Lungenembolie,Erstes mit der AG Thoraxdiagnostik abgestimmtes und im Konsensus verabschiedetes Template. Das Template alle wichtigen Items und gibt dem Radiologen einen Leitfaden zu genauen Beschreibung einer Lunge,de,Other,Chest,15074
CT Mastoid and Middle Ear Postoperative,CT Mastoid and Middle Ear Postoperative,,en,CT,General,14261
CT Neck - Primary Hyperparathyroidism (PHPT) - Parathyroid 4D CT,CT Neck - Primary Hyperparathyroidism (PHPT),Test Description,en,CT,General,26805
CT Neck W Contrast,CT Neck W Contrast,,en,CT,General,2616
CT Neck WO and W Contrast - 4D Parathyroid,CT Neck WO and W Contrast - 4D Parathyroid,,en,CT,General,2507
CT Neck WO Contrast,CT Neck WO Contrast,,en,CT,General,2598
CT Neck,CT Neck,,en,CT,General,5389
CT Onco Lung Mass,CT Onco Lung Mass,,en,CT,Chest,8063
CT Onco Renal Mass,CT Onco Renal Mass,,en,CT,General,8439
CT Orbits W Contrast,CT Orbits W Contrast,,en,CT,General,2181
CT Orbits WO Contrast,CT Orbits WO Contrast,,en,CT,General,1900
"CT Pankreaskarzinom, solide (CT pancreatic cancer, solid tumor)",CT Pankreaskarzinom (solide),Mit AG Onkologie abgestimmtes und konsentiertes Template zur Befundung bei Pankreaskarzinom,de,CT,General,26765
CT Pelvis,CT Pelvis,,en,CT,Pelvis,3889
CT Pulmonary Veins,CT Pulmonary Veins,,en,CT,Chest,11315
CT Renal Donor,CT Renal Donor,,en,CT,General,10255
CT Renal Stone,CT Renal Stone,,en,CT,General,9194
CT Renal Stones,CT Renal Stones,,en,CT,General,4140
CT report - COVID-19,CT report - COVID-19,Structured report prepared by the SIRM working group on COVID-19,en,CT,General,32605
CT schedel_ acute stroke,Ct schedel: acute stroke,verslagsjabloon acute stroke,nl,CT,General,18858
CT Sinus WO Contrast - Preoperative,CT Sinus WO Contrast - Preoperative,,en,CT,General,8751
CT Sinus,CT Sinus,,en,CT,General,2471
CT Sinuses - Normal,CT Sinuses - Normal,,en,CT,General,3851
CT Stone Study,CT Stone ,,en,CT,General,33937
CT Temporal Bones WO Contrast - Preoperative Cochlear Implant,CT Temporal Bones WO Contrast - Preoperative Cochlear Implant,,en,CT,General,6056
CT Temporal Bones WO Contrast,CT Temporal Bones WO Contrast,,en,CT,General,6691
CT Thoracic Spine WO Contrast,CT Thoracic Spine WO Contrast,,en,CT,Spine,2236
CT Upper Extremity - Glenoid Bone Stock and Version,CT Upper Extremity,,en,CT,Extremity,16794
CT Wrist-Hand - Avulsion Fracture,CT Wrist/Hand - Avulsion Fracture,Template used to record diagnosis of avulsion fracture from CT of the wrist and hand.,en,CT,Extremity,16146
CT العمود الفقري العنقي,CT العمود الفقري العنقي,,en,CT,General,675
CT-gesteuerte Drainagenanlage,CT-gesteuerte Drainagenanlage,,en,Other,General,7569
CT-guided Biopsy,CT-guided Biopsy,,en,Other,General,3705
CT,CT,,en,Other,General,5763
CTA AP with Runoff,CTA AP with Runoff,,en,Other,General,32408
CTA Heart Fractional Flow Reserve,CTA Heart Fractional Flow Reserve,,en,Other,General,18570
CTV Head W Contrast,CTV Head W Contrast,,en,Other,Head/Brain,2594
CT颈椎,CT颈椎,,en,Other,General,675
CXR COVID-19,CXR COVID,,en,Other,General,20097
Cystogram,Cystogram,,en,Other,General,4009
DEFECOGRAFIA RM,DEFECOGRAFIA RM,,en,Other,General,1028
Echo abdomen (man),Echografie abdomen UZ Gent man,"Template of the report of an US examination of the abdomen in a male patient, such as used at Ghent University Hospital, Ghent, Flanders, Belgium (in Dutch)",nl,Ultrasound,Abdomen,18142
Echografie van de abdominale aorta-50036,Echografie van de abdominale aorta-50036,,en,Ultrasound,Abdomen,4997
Echografie van de abdominale aorta,Echografie van de abdominale aorta,,en,Ultrasound,Abdomen,5121
Echografie van het abdomen #01 (man),Echografie abdomen UZ Gent man,"Template of the report of an US examination of the abdomen in a male patient, such as used at Ghent University Hospital, Ghent, Flanders, Belgium (in Dutch)",nl,Ultrasound,Abdomen,18360
ECO Addome ,ECO Addome ,,en,Other,General,18463
Ecografia renale,Ecografia renale,,en,Other,General,1193
Endometrial Cancer Staging CT,Endometrial Cancer Staging CT,,en,Other,General,11168
Endometrial Cancer Staging MRI,Endometrial Cancer Staging MRI,,en,MRI,General,18132
Endometrial cancer staging,Endometrial cancer staging,,en,Other,General,1985
Endoscopic Retrograde Cholangiopancreaticogram (ERCP),Endoscopic Retrograde Cholangiopancreaticogram (ERCP),,en,Other,Abdomen,3956
Endoscopic Retrograde Pancreaticogram (ERP),Endoscopic Retrograde Pancreaticogram (ERP),,en,Other,Abdomen,3791
Endoscopic Retrograde Cholangiogram (ERC),Endoscopic Retrograde Cholangiogram (ERC),,en,Other,Vascular,3875
ENTEROGRAFIA RM,ENTEROGRAFIA RM,,en,Other,General,1584
ESOFAGO STOMACO DUODENO,ESOFAGO STOMACO DUODENO,,en,Other,General,809
Esophagram,Esophagram,,en,Other,General,4078
Extremidad inferior bilateral de EE. UU.,Extremidad inferior bilateral de EE. UU.,,en,Other,General,3942
Fleischner Society Guidelines,Fleischner Society Guidelines,,en,Other,General,3002
Fluoroscopic Feeding Tube,Fluoro Feeding Tube ,,en,Fluoroscopy,General,6552
Fluoroscopic-guided gastrostomy tube exchange,Gastrostomy tube exchange,Gastrostomy tube exchange,en,Other,General,14482
Follow-up hersentumor,Follow-up hersentumor,,en,Other,General,1892
Foot Xray - Normal,Foot Xray - Normal,,en,Xray,Extremity,3152
Forearm Xray,Forearm Xray,,en,Xray,Extremity,3890
Ga-67 SPECT,Ga-67 SPECT,,en,Nuclear,General,3881
Gastric Emptying,Gastric Emptying,,en,Other,General,4269
Gastrostomy Tube Exchange,Gastrostomy Tube Exchange,,en,Other,General,3418
Gastrostomy Tube Removal,Gastrostomy Tube Removal,,en,Other,General,3896
Generic Report (Diagnostic),Generic Report (Diagnostic),,en,Other,General,3102
Grado di ferita di Milza di AAST,Grado di ferita di Milza di AAST,,en,Other,General,4769
Hip Xray - Prosthesis,Hip Xray - Prosthesis,,en,Xray,General,4817
Hysterosalpingogram,Hysterosalpingogram,,en,Other,General,3000
INDAGINE SCHELETRICA (TRAUMA NON ACCIDENTALE),INDAGINE SCHELETRICA (TRAUMA NON ACCIDENTALE),,en,Other,General,508
Informe general,Informe general,,en,Other,General,3990
Iteration of Breast mammogram report,Iteration of Breast mammogram report,,en,Other,General,377
Iteration of Iteration of Breast mammogram report,Iteration of Iteration of Breast mammogram report,,en,Other,General,377
Jama Brzuszna Całościowo,Jama Brzuszna Całościowo,,en,Other,General,4791
Kemik Taraması,Kemik Taraması,,en,Other,General,777
Kemik Yaş Tayini,Kemik Yaş Tayini,,en,Other,General,617
Kemik Yaşı,Kemik Yaşı,,en,Other,General,618
Kidney DMSA,Kidney DMSA,,en,Other,Abdomen,4089
Kidney GFR,Kidney GFR,,en,Other,Abdomen,3197
Knee Xray - Normal,Knee Xray - Normal,,en,Xray,General,3044
Knee Xray - Prosthesis,Knee Xray - Prosthesis,,en,Xray,General,3149
Knöchel Xray,Knöchel Xray,,en,Xray,General,7791
Kręgosłup szyjny TK,Kręgosłup szyjny TK,,en,Other,General,10706
Kvið röð,Kvið röð,,en,Other,General,5038
Lebermasse CT,Lebermasse CT,,en,Other,General,9762
Left Wrist Xray,Left Wrist Xray,,en,Xray,General,4130
Lumbar Puncture,Lumbar Puncture,,en,Other,Spine,3903
Lumbar Spine Xray,Lumbar Spine Xray,,en,Xray,Spine,4008
Lumbosacral Spine,Lumbosacral Spine,,en,Other,Spine,3902
mammografie version 3,mammografie version 2,mammografie,nl,Other,General,44576
mammografie,Mammografie in de screening,Mammografie in de screening,nl,Other,General,30934
MASSA RENALE-PARARENALE CT,MASSA RENALE-PARARENALE CT,,en,Other,General,315
Meckel Scan,Meckel Scan,,en,CT,General,3621
mpMRI of the prostate gland,Prostate multi parametric MRI,Template created according to PI-RADS v.2,en,MRI,Pelvis,44852
MR Adnexal Mass,MR Adnexal Mass,,en,MRI,General,54299
MR and MRA Neck W Contrast - Horner's Syndrome,MR and MRA Neck W Contrast - Horner's Syndrome,,en,MRI,General,2729
MR Ankle,MR Ankle,,en,MRI,Extremity,121870
MR Beyin,MR Beyin,,en,MRI,General,1905
MR Bilek,MR Bilek,,en,MRI,General,2111
MR Bladder,MR Bladder,,en,MRI,Pelvis,5735
MR Brachial Plexus WO and WO Contrast,MR Brachial Plexus WO and WO Contrast,,en,MRI,General,3081
MR Brachial Plexus WO Contrast,MR Brachial Plexus WO Contrast,,en,MRI,General,2865
MR Brachial Plexus-44,MR Brachial Plexus-44,,en,MRI,General,5997
MR Brachial Plexus,MRI Brachial Plexus,,en,MRI,General,16850
MR Brain - Adult Epilepsy,MR Brain - Adult Epilepsy,,en,MRI,Head/Brain,2222
MR Brain - Cranial Nerve 5,MR Brain - Cranial Nerve 5,,en,MRI,Head/Brain,3371
MR Brain - Cranial Nerve 7,MR Brain - Cranial Nerve 7,,en,MRI,Head/Brain,3268
MR Brain - Dementia,MR Brain - Dementia,,en,MRI,Head/Brain,3720
MR Brain - Developmental Delay,MR Brain - Developmental Delay,,en,MRI,Head/Brain,3362
MR Brain - Fast Protocol,MR Brain - Fast Protocol,,en,MRI,Head/Brain,1556
MR Brain - Fetal,MR Brain - Fetal,,en,MRI,Head/Brain,4622
MR Brain - Headache,MR Brain - Headache,,en,MRI,Head/Brain,2839
MR Brain - Multiple Sclerosis Screening,MR Brain - Multiple Sclerosis Screening,,en,MRI,Head/Brain,3930
MR Brain - Pediatric Epilepsy,MR Brain - Pediatric Epilepsy,,en,MRI,Head/Brain,2534
MR Brain - Pediatric,MR Brain - Pediatric,,en,MRI,Head/Brain,2365
MR Brain - Pulsatile Tinnitus,MR Brain - Pulsatile Tinnitus,,en,MRI,Head/Brain,3752
MR Brain and MRA Head ,MR Brain and MRA Head ,,en,MRI,Head/Brain,2869
MR Brain and MRA Head and Neck - PHACE Syndrome,MR Brain and MRA Head and Neck - PHACE Syndrome,,en,MRI,Head/Brain,2418
MR Brain and MRA Head and Neck,MR Brain and MRA Head and Neck,,en,MRI,Head/Brain,4205
MR Brain and MRV Head,MR Brain and MRV Head,,en,MRI,Head/Brain,2628
MR Brain Headache,MR Brain Headache,,en,MRI,Head/Brain,1102
"MR Brain MRA Head - Cranial Nerves 3, 4, 6","MR Brain MRA Head - Cranial Nerves 3, 4, 6",,en,MRI,Head/Brain,3551
MR Brain W Contrast - Multiple Slerosis Screening,MR Brain W Contrast - Multiple Slerosis Screening,,en,MRI,Head/Brain,4197
MR Brain W Contrast,MR Brain W Contrast,,en,MRI,Head/Brain,2698
MR Brain W-O Contrast,MR Brain W-O Contrast,,en,MRI,Head/Brain,2456
MR Brain WO and W Contrast - Multiple Sclerosis Follow-up,MR Brain WO and W Contrast - Multiple Sclerosis Follow-up,,en,MRI,Head/Brain,3757
MR Brain WO Contrast - Multiple Sclerosis Follow-up,MR Brain WO Contrast - Multiple Sclerosis Follow-up,,en,MRI,Head/Brain,3366
MR Brain,MR Brain,,en,MRI,Head/Brain,8144
MR Cervello,MR Cervello,,en,MRI,General,10659
MR Cervical and Thoracic Spine W Contrast,MR Cervical and Thoracic Spine W Contrast,,en,MRI,Spine,3355
MR Cervical and Thoracic Spine WO Contrast,MR Cervical and Thoracic Spine WO Contrast,,en,MRI,Spine,2606
MR Cervical Spine - Multiple Sclerosis Screening,MR Cervical Spine - Multiple Sclerosis Screening,,en,MRI,Spine,2532
MR Cervical Spine W Contrast - Multiple Sclerosis Followup,MR Cervical Spine W Contrast - Multiple Sclerosis Followup,,en,MRI,Spine,3081
MR Cervical Spine W Contrast,MR Cervical Spine W Contrast,,en,MRI,Spine,3024
MR Cervical Spine WO Contrast,MR Cervical Spine WO Contrast,,en,MRI,Spine,2686
MR Elastography - Liver,MR Elastography,INSTRUCTIONS FOR USING THIS TEMPLATE: This MR elastography structured report template can be used for a standalone MR elastography examination or can be added to a diagnostic MRI report template.,en,MRI,General,11918
MR Enterography,MR Enterography,,en,MRI,General,9461
MR głowy,MR głowy,,en,MRI,General,37682
MR Hip,MR Hip,,en,MRI,General,9232
MR Internal Auditory Canal - Cholesteatoma,MR Internal Auditory Canal - Cholesteatoma,,en,MRI,General,3001
MR Internal Auditory Canal - Followup,MR Internal Auditory Canal - Followup,,en,MRI,General,2698
MR Internal Auditory Canal - Screening,MR Internal Auditory Canal - Screening,,en,MRI,General,2717
MR Internal Auditory Canal Postoperative,Internal Auditory Canal Postoperative,,en,Other,General,16648
MR Internal Auditory Canal W Contrast - Screening,MR Internal Auditory Canal W Contrast - Screening,,en,MRI,General,2949
MR Karın Apse,MR Karın Apse,,en,MRI,General,1680
MR Kidney and Abdomen Renal Mass,MR Kidney and Abdomen Renal Mass,,en,MRI,Abdomen,55111
MR kręgosłupa lędźwiowego,MR kręgosłupa lędźwiowego,,en,MRI,General,4438
MR Left Hip,MR Left Hip,,en,MRI,General,3962
MR Left Wrist,MR Left Wrist,,en,MRI,General,4903
MR Lumbar Spine W Contrast,MR Lumbar Spine W Contrast,,en,MRI,Spine,3305
MR Lumbar Spine,MR Lumbar Spine,,en,MRI,Spine,3108
MR Lumbosacral Plexus WO and W Contrast,MR Lumbosacral Plexus WO and W Contrast,,en,MRI,General,2225
MR Lumbosacral Plexus,MR Lumbosacral Plexus,,en,MRI,General,2006
MR Neck WO and W Contrast - Cancer Follow-up,MR Neck WO and W Contrast - Cancer Follow-up,,en,MRI,General,1870
MR Neck WO and W Contrast - Cancer Initial,MR Neck WO and W Contrast - Cancer Initial,,en,MRI,General,2558
MR Neck WO and W Contrast,MR Neck WO and W Contrast,,en,MRI,General,2383
MR or CT Enterography - Crohn’s Disease,MR or CT Enterography 1.0,This MR or CT enterography structured report template was created by members of the Society of Abdominal Radiology Crohn's disease-focused panel. Instructions for using this template are included thro,en,CT,General,46520
MR Orbits and Brain WO and W Contrast,MR Orbits and Brain WO and W Contrast,,en,MRI,Head/Brain,3677
MR Orbits,MR Orbits,,en,MRI,General,7929
MR Pelvis w and wo contrast - Rectal Cancer,MR Rectal Cancer,,en,MRI,General,16758
MR prawego stawu kolanowego,MR prawego stawu kolanowego,,en,MRI,General,5154
MR Rektum iltihabı,MR Rektum iltihabı,,en,MRI,General,2865
MR Rektum Kanseri,MR Rektum Kanseri,,en,MRI,General,2446
MR Right Knee,MR Right Knee,,en,MRI,General,4985
MR Right Wrist,MR Right Wrist,,en,MRI,General,4929
MR Sella WO and W Contrast - Preoperative,MR Sella WO and W Contrast - Preoperative,,en,MRI,General,4117
MR Sella,MR Sella,,en,MRI,General,2814
MR Sinus WO and W Contrast,MR Sinus WO and W Contrast,,en,MRI,General,2321
MR Skull Base WO and W Contrast,MR Skull Base WO and W Contrast,,en,MRI,Head/Brain,3234
MR Temporomandibular eklem,MR Temporomandibular eklem,,en,MRI,General,842
MR Temporomandibular Joint,MR Temporomandibular Joint,,en,MRI,General,3945
MR Temporomandibular Joints W Contrast,MR Temporomandibular Joints W Contrast,,en,MRI,General,2811
MR Temporomandibular Joints WO Contrast,MR Temporomandibular Joints WO Contrast,,en,MRI,General,2517
MR Thoracic Spine W Contrast,MR Thoracic Spine W Contrast,,en,MRI,Spine,2576
MR Thoracic Spine,MR Thoracic Spine,,en,MRI,Spine,2167
MR Total Spine - Sagittal Screen,MR Total Spine - Sagittal Screen,,en,MRI,Spine,2289
MR Total Spine - Tethered Cord,MR Total Spine - Tethered Cord,,en,MRI,Spine,3228
MR Total Spine W Contrast - Drop Metastasis,MR Total Spine W Contrast - Drop Metastasis,,en,MRI,Spine,2155
MR Total Spine,MR Total Spine,,en,MRI,Spine,3861
MR Wrist,MR Wrist,,en,MRI,General,14755
MRA Head W Contrast,MRA Head W Contrast,,en,Other,Head/Brain,1874
MRA Head WO Contrast,MRA Head WO Contrast,,en,Other,Head/Brain,1792
MRA Neck W Contrast,MRA Neck W Contrast,,en,Other,General,2361
MRA Neck WO Contrast,MRA Neck WO Contrast,,en,Other,General,2280
MRA Neck,MRA Neck Neuroradiology,,en,Other,General,7275
MRI Cervical Spine,MRI Cervical Spine,MRI Cervical Spine,en,MRI,Spine,6421
MRI Pelvis - Cervical Cancer,MRI Pelvis - Cervical Cancer,,en,MRI,Pelvis,42671
MRI sacro-iliacale gewrichten,Mri sacro-iliacale gewrichten,verslagsjabloon MRI SIG,nl,MRI,General,13109
MRI Οσφυϊκή Μοίρα Σπονδυλικής στήλης,MRI Οσφυϊκή Μοίρα Σπονδυλικής στήλης,For disc disease,el,MRI,General,53314
MRI Οσφυϊκή Σπονδυλική στήλη,MRI Οσφυϊκή Σπονδυλική στήλη,For disc disease,el,MRI,General,53748
MRT Rektum-Karzinom (MRI rectal cancer),MRT Rektum-Ca,Erstes mit der AG Onkologie abgestimmtes und in einem Konsensusmeeting mit Klinikern besprochenes Template. Das Template enthält alle für Chirurgen und Onkologen wichtigen Items und gibt dem Radiologe,de,Other,General,23306
Muñeca bilateral Radiografía,Muñeca bilateral Radiografía,,en,Other,General,11008
Nasogastric Tube Placement,Nasogastric Tube Placement,,en,Other,General,3141
Neonatal Enema,Neonatal Enema,,en,Other,General,5387
NM Bone Scan,NM Bone Scan,,en,CT,General,4485
NM Hepatobiliary,NM Hepatobiliary,,en,Other,General,5786
Nuclear Medicine Hepatobiliary (HIDA) Scan,Nuclear Medicine Hepatobiliary (HIDA) Scan,,en,CT,General,869
Ogólny wynik badania (badanie diagnostyczne),Ogólny wynik badania (badanie diagnostyczne),,en,Other,General,4009
Orbita MR,Orbita MR,,en,Other,General,433
Orbits,Orbits,,en,Other,General,3273
Ovarian Cancer Follow Up CT,Ovarian Cancer Follow-Up CT,,en,Other,General,15591
Ovarian Cancer Follow Up MRI,Ovarian Cancer Follow-Up MRI,,en,MRI,General,15920
Ovarian Cancer Staging CT,Ovarian Cancer Staging CT,,en,Other,General,16827
Ovarian Cancer Staging MRI,Ovarian Cancer Staging MRI,,en,MRI,General,32750
Overizchtsopname abdomen,Overizchtsopname abdomen,,en,Other,Abdomen,5037
Overzichtsopname abdomen-50127,Overzichtsopname abdomen-50127,,en,Other,Abdomen,7831
Overzichtsopname abdomen,Overzichtsopname abdomen,,en,Other,Abdomen,4938
OVerzichtsopnamen abdomen,OVerzichtsopnamen abdomen,,en,Other,Abdomen,4792
Pankreas MR,Pankreas MR,,en,Other,General,1874
Paranasal Sinuses,Paranasal Sinuses,,en,Other,General,3297
Parathyroid Planar Scan,Parathyroid Planar Scan,,en,CT,General,4116
Parathyroid SPECT,Parathyroid SPECT,,en,Nuclear,General,4418
Peds Swallow,Peds Swallow,,en,Other,General,7091
Peds Upper GI,Peds Upper GI,,en,Other,General,7543
Peds VCUG,Peds VCUG,,en,Other,General,8203
Pelvis,Pelvis,,en,Other,Pelvis,2961
PET-CT Oncologic,PET-CT Oncologic,,en,CT,General,12325
PICC Exchange,PICC Exchange,,en,Other,General,4475
PICC Insertion,PICC Insertion,,en,Other,General,5757
PICC Removal,PICC Removal,,en,Other,General,3726
Placenta accreta evaluation MRI ,Placenta accreta evaluation MRI ,,en,MRI,General,5206
PROIEZIONE AP DEL TORACE (PICC),PROIEZIONE AP DEL TORACE (PICC),,en,Other,General,207
Prostat MR,Prostat MR,,en,Other,General,1938
Rachis Cervical-50123,Rachis Cervical-50123,,en,Other,Spine,5369
Rachis Cervical,Rachis Cervical,,en,Other,Spine,5362
Rad Chest 2 Views,Rad Chest 2 Views,A basic normal template for chest radiographs with pick lists for common abnormalities.,en,Other,Chest,25509
RADIOGRAFIA DEL TORACE,RADIOGRAFIA DEL TORACE,,en,Other,General,301
Radiografia del Torax,Radiografia del Torax,,en,Other,General,7784
"Radiografie abdomen, liggend en staand-50128","Radiografie abdomen, liggend en staand-50128",,en,Other,Abdomen,11649
"Radiografie abdomen, liggend en staand","Radiografie abdomen, liggend en staand",,en,Other,Abdomen,5191
Radiografie abdomen-50129,Radiografie abdomen-50129,,en,Other,Abdomen,10450
Radiografie abdomen,Radiografie abdomen,,en,Other,Abdomen,7819
Radiografie pols beiderzijds,Radiografie pols beiderzijds,,en,Other,General,5102
Radiografie van de enkel,Radiografie van de enkel,,en,Other,General,6282
Radiografie abdomen,Radiografie abdomen,,en,Other,Abdomen,7775
Radiografía de abdomen,Radiografía de abdomen,,en,Other,Abdomen,5373
Radiografía de Torax para detección de Tuberculosis-50140,Radiografía de Torax para detección de Tuberculosis-50140,,en,Other,General,28434
Radiografía de Torax para detección de Tuberculosis,Radiografía de Torax para detección de Tuberculosis,,en,Other,General,28903
Radiografía de Tórax ,Radiografía de Tórax ,,en,Other,General,4493
