template,code,meaning
Chest radiograph for tuberculosis,RID10510,radiography procedure attribute
Chest radiograph for tuberculosis,RID10510,radiography procedure attribute
Chest radiograph for tuberculosis,RID29116,tuberculosis
Chest radiograph for tuberculosis,RID43255,consolidation
Chest radiograph for tuberculosis,RID35654,tree-in-bud sign
Chest radiograph for tuberculosis,RID35377,miliary pattern
Chest radiograph for tuberculosis,RID3798,lymphadenopathy
Chest radiograph for tuberculosis,RID34539,pleural effusion
Chest radiograph for tuberculosis,RID50133,most recent comparison
Chest Tube Removal,RID10415,device removal
Chest Tube Removal,RID5573,thoracostomy tube
Chest Tube Removal,RID1243,thorax
Chest Tube Removal,RID5573,thoracostomy tube
Chest Tube Removal,RID5825,right
Chest Tube Removal,RID5824,left
Chest Tube Removal,RID13166,clinical information
Chest Tube Removal,RID28483,comparison
Chest Tube Removal,RID28486,observations section
Chest Tube Removal,RID13170,impression section
Chest Xray - 2 Views,RID10345,projection radiography
Chest Xray - 2 Views,RID1243,thorax
Chest Xray - PICC,RID5581,peripheral intravenous central catheter
Chest Xray - PICC,RID10345,projection radiography
Chest Xray - PICC,RID1243,thorax
Chest Xray - PICC,RID1559,procedure
Chest Xray - PICC,RID13166,clinical information
Chest Xray - PICC,RID28483,comparison
Chest Xray - PICC,RID6062,body region
Chest Xray - PICC,RID5825,right
Chest Xray - PICC,RID5824,left
Chest Xray - PICC,RID13170,impression section
CT Abdomen & Pelvis w Contrast,RID187,gallbladder
CT Abdomen & Pelvis w Contrast,RID205,kidney
CT Abdomen & Pelvis w Contrast,RID1301,lung
CT Abdomen & Pelvis w Contrast,RID28722,adrenal region
CT Abdomen & Pelvis w Contrast,RID86,spleen
CT Abdomen & Pelvis w Contrast,RID170,pancreas
CT Abdomen & Pelvis w Contrast,RID168,appendix
CT Abdomen & Pelvis w Contrast,RID114,stomach
CT Abdomen & Pelvis w Contrast,RID28854,abdominal lymph node group
CT Abdomen & Pelvis w Contrast,RID13209,musculoskeletal system
CT Abdomen & Pelvis w Contrast,RID15989,vasculature
CT Abdomen & Pelvis w Contrast,RID1547,fluid
CT Abdomen & Pelvis w Contrast,RID35730,portion of soft tissue
CT Abdomen & Pelvis w Contrast,RID13166,clinical information section
CT Abdomen & Pelvis w Contrast,RID2507,pelvis
CT Abdomen & Pelvis w Contrast,RID13173,normal
CT Abdomen & Pelvis w Contrast,RID11502,technique effectiveness
CT Abdomen & Pelvis w Contrast,RID58,liver
CT Abdomen & Pelvis w Contrast,RID410,peritoneum
CT AbdPel- Appendicitis,RID170,pancreas
CT AbdPel- Appendicitis,RID28855,pelvic lymph node group
CT AbdPel- Appendicitis,RID28722,adrenal region
CT AbdPel- Appendicitis,RID187,gallbladder
CT AbdPel- Appendicitis,RID13173,normal
CT AbdPel- Appendicitis,RID29663,left kidney
CT AbdPel- Appendicitis,RID28454,none
CT AbdPel- Appendicitis,RID29662,right kidney
CT AbdPel- Appendicitis,RID86,spleen
CT AbdPel- Appendicitis,RID34393,hydronephrosis
CT AbdPel- Appendicitis,RID28454,none
CT AbdPel- Appendicitis,RID5671,mild
CT AbdPel- Appendicitis,RID5672,moderate
CT AbdPel- Appendicitis,RID5673,severe
CT AbdPel- Appendicitis,RID1301,lung
CT AbdPel- Appendicitis,RID13173,normal
CT AbdPel- Appendicitis,RID28487,report
CT AbdPel- Appendicitis,RID34393,hydronephrosis
CT AbdPel- Appendicitis,RID28454,none
CT AbdPel- Appendicitis,RID5671,mild
CT AbdPel- Appendicitis,RID5672,moderate
CT AbdPel- Appendicitis,RID5673,severe
CT AbdPel- Appendicitis,RID30845,left ureter
CT AbdPel- Appendicitis,RID28454,none
CT AbdPel- Appendicitis,RID28472,present
CT AbdPel- Appendicitis,RID30844,right ureter
CT AbdPel- Appendicitis,RID28454,none
CT AbdPel- Appendicitis,RID28472,present
CT AbdPel- Appendicitis,RID49442,indication
CT angio abdomen - live liver donor,RID28472,present
CT angio abdomen - live liver donor,RID28473,absent
CT angio abdomen - live liver donor,RID49459,liver parenchyma
CT angio abdomen - live liver donor,RID13170,impression section
CT angio abdomen - live liver donor,RID15989,vasculature
CT angio abdomen - live liver donor,RID35817,oral contrast
CT angio abdomen - live liver donor,RID28483,comparison
CT angio abdomen - live liver donor,RID39049,atherosclerosis
CT angio abdomen - live liver donor,RID28472,present
CT angio abdomen - live liver donor,RID28473,absent
CT angio abdomen - live liver donor,RID13166,clinical information
CT angio abdomen - live liver donor,RID205,kidney
CT angio abdomen - live liver donor,RID94,gastrointestinal tract
CT angio abdomen - live liver donor,RID86,spleen
CT angio abdomen - live liver donor,RID28752,set of adrenal glands
CT angio abdomen - live liver donor,RID170,pancreas
CT angio abdomen - live liver donor,RID918,right hepatic artery
CT angio abdomen - live liver donor,RID916,left hepatic artery
CT angio abdomen - live liver donor,RID13173,normal
CT angio abdomen - live liver donor,RID28454,none
CT angio abdomen - live liver donor,RID46041,vascular disease
CT angio abdomen - live liver donor,RID13173,normal
CT Appendicitis,RID56,abdomen
CT Appendicitis,RID3383,appendicitis
CT Appendicitis,RID168,appendix
CT Appendicitis,RID10321,computed tomography
CT Appendicitis,RID2507,pelvis
CT Appendicitis,RID1559,procedure
CT Appendicitis,RID28769,imaging with IV contrast
CT Appendicitis,RID35817,oral contrast
CT Appendicitis,RID13166,clinical information
CT Appendicitis,RID28483,comparison
CT Appendicitis,RID13432,diameter
CT Appendicitis,RID5987,wall
CT Appendicitis,RID28671,thickness descriptor
CT Appendicitis,RID1547,fluid
CT Appendicitis,RID3711,abscess
CT Appendicitis,RID5849,adjacent
CT Appendicitis,RID130,intestine
CT Appendicitis,RID5987,wall
CT Appendicitis,RID28509,thickening
CT Appendicitis,RID4988,appendicolith
CT Appendicitis,RID3775,enlargement
CT Appendicitis,RID3798,lymphadenopathy
CT Appendicitis,RID451,mesenteric lymph node
CT Appendicitis,RID5774,small
CT Appendicitis,RID130,intestine
CT Appendicitis,RID31011,colon
CT Appendicitis,RID187,gallbladder
CT Appendicitis,RID28753,biliary system
CT Appendicitis,RID86,spleen
CT Appendicitis,RID170,pancreas
CT Appendicitis,RID28752,set of adrenal glands
CT Appendicitis,RID205,kidney
CT Appendicitis,RID31090,set of ureters
CT Appendicitis,RID5692,major
CT Appendicitis,RID905,abdominal aorta
CT Appendicitis,RID3798,lymphadenopathy
CT Appendicitis,RID1354,lower lung zone
CT Appendicitis,RID28569,set of bones
CT Appendicitis,RID13170,impression section
CT Brain-50529,RID4700,hemorrhage
CT Brain-50529,RID13477,ventricular system of neuraxis
CT Brain-50529,RID13173,normal
CT Brain-50529,RID49442,indication
CT Brain-50529,RID13209,musculoskeletal system
CT Brain-50529,RID28579,paranasal sinuses
CT Brain-50529,RID28601,orbits
CT Brain-50529,RID49691,postsurgical fluid collection
CT Brain,RID6434,brain
CT Brain,RID10321,computed tomography
CT Brain,RID9080,head
CT Brain,RID11582,contrast agent
CT Brain,RID13166,clinical information
CT Brain,RID28483,comparison
CT Brain,RID6380,extraaxial
CT Brain,RID6383,intracranial
CT Brain,RID4700,hemorrhage
CT Brain,RID13786,ventricular system of brain
CT Brain,RID7187,interpeduncular cistern
CT Brain,RID6437,telencephalon
CT Brain,RID5826,midline
CT Brain,RID4738,mechanical disorder
CT Brain,RID10445,deviation position
CT Brain,RID6815,cerebellum
CT Brain,RID6677,brainstem
CT Brain,RID9196,skull
CT Brain,RID28579,paranasal sinuses
CT Brain,RID10144,mastoid air cell
CT Brain,RID28601,orbits
CT Brain,RID28674,cervical spine region
CT Brain,RID7741,spine
CT Brain,RID9286,sella turcica
CT Brain,RID28731,base of cranium
CT Brain,RID13170,impression section
CT Calcium Score,RID11800,calcium
CT Calcium Score,RID10321,computed tomography
CT Calcium Score,RID1385,heart
CT Calcium Score,RID28727,set of coronary arteries
CT Calcium Score,RID11250,EKG gating
CT Calcium Score,RID5822,superior
CT Calcium Score,RID5683,status descriptor
CT Calcium Score,RID5823,inferior
CT Calcium Score,RID5683,status descriptor
CT Calcium Score,RID11525,complication
CT Calcium Score,RID13166,clinical information
CT Calcium Score,RID28483,comparison
CT Calcium Score,RID10,image quality
CT Calcium Score,RID12,diagnostic quality
CT Calcium Score,RID14,non-diagnostic quality
CT Calcium Score,RID11296,artifact
CT Calcium Score,RID12776,image registration
CT Calcium Score,RID11308,patient motion
CT Calcium Score,RID11800,calcium
CT Calcium Score,RID11296,artifact
CT Calcium Score,RID11334,metal artifact
CT Calcium Score,RID11309,arrhythmia artifact
CT Calcium Score,RID28808,calcium score
CT Calcium Score,RID5689,complete
CT Calcium Score,RID28808,calcium score
CT Calcium Score,RID5689,complete
CT Calcium Score,RID28668,volume
CT Calcium Score,RID486,left coronary artery
CT Calcium Score,RID490,left anterior descending artery
CT Calcium Score,RID5824,left
CT Calcium Score,RID510,circumflex coronary artery
CT Calcium Score,RID544,right coronary artery
CT Calcium Score,RID1386,cardiac chamber
CT Calcium Score,RID879,thoracic aorta
CT Calcium Score,RID13437,lungs
CT Calcium Score,RID56,abdomen
CT Calcium Score,RID13170,impression section
CT Cerebrum,RID6434,brain
CT Cerebrum,RID10321,computed tomography
CT Cerebrum,RID9080,head
CT Cerebrum,RID11582,contrast agent
CT Cerebrum,RID13166,clinical information
CT Cerebrum,RID28483,comparison
CT Cerebrum,RID6380,extraaxial
CT Cerebrum,RID6383,intracranial
CT Cerebrum,RID4700,hemorrhage
CT Cerebrum,RID13786,ventricular system of brain
CT Cerebrum,RID7187,interpeduncular cistern
CT Cerebrum,RID6437,telencephalon
CT Cerebrum,RID5826,midline
CT Cerebrum,RID4738,mechanical disorder
CT Cerebrum,RID10445,deviation position
CT Cerebrum,RID6815,cerebellum
CT Cerebrum,RID6677,brainstem
CT Cerebrum,RID9196,skull
CT Cerebrum,RID28579,paranasal sinuses
